pop_est,continent,name,iso_a3,gdp_md_est,geometry
144373535.0,Europe,Russia,RUS,1699876,"MULTIPOLYGON (((180.00000000000006 71.51571433642829, 180.00000000000006 70.83219920854673, 178.90342499999997 70.78114000000001, 178.7253 71.0988, 180.00000000000006 71.51571433642829)), ((48.64541000000008 45.806290000000104, 47.67590999999999 45.64149000000015, 46.68201000000005 44.6092000000001, 47.59093999999999 43.660160000000076, 47.49252000000007 42.98658000000012, 48.58437000000015 41.808880000000045, 48.58435339611342 41.80886879162067, 47.98728315612598 41.40581920019423, 47.81566572448463 41.15141612402135, 47.37331546406623 41.2197323675112, 46.68607059101661 41.82713715266988, 46.404950799348825 41.860675157227305, 45.776400000000024 42.09244000000018, 45.47027916848572 42.50278066666998, 44.537622918481986 42.71199270280363, 43.931210000000135 42.55496000000011, 43.75599000000011 42.740830000000074, 42.39440000000013 43.220300000000066, 40.922190000000114 43.38215000000014, 40.07696495947977 43.553104153002316, 39.955008579270924 43.43499766699922, 38.68000000000001 44.280000000000086, 37.539120000000025 44.65721000000002, 36.6754600000001 45.244690000000105, 37.4031700000001 45.40451000000013, 38.23295000000002 46.24087000000003, 37.67372 46.636570000000006, 39.14767000000012 47.044750000000136, 39.121200000000044 47.26336000000009, 38.223538038899335 47.10218984637595, 38.25511233902978 47.54640045835691, 38.77057000000008 47.825620000000185, 39.738277622238854 47.89893707945197, 39.89562000000018 48.23241000000007, 39.674649999999986 48.78382000000016, 40.080789015469406 49.30742991799934, 40.06904000000014 49.60104999999999, 38.59498823421342 49.9264619004237, 38.01063113785693 49.9156615260747, 37.39345950699516 50.38395335550365, 36.62616784032542 50.225590928745135, 35.356116163887975 50.57719737405904, 35.377909999999986 50.773940000000096, 35.02218305841791 51.2075723333715, 34.22481570815427 51.25599315042888, 34.141978387190534 51.566413479206346, 34.39173058445709 51.768881740925906, 33.75269982273579 52.3350745713318, 32.715760532367085 52.23846548116211, 32.41205813978769 52.28869497334978, 32.15944000000013 52.06125000000014, 31.78599244755525 52.1016775699397, 31.785970000000077 52.1016800000001, 31.54001834486226 52.74205231384636, 31.305200636528014 53.07399587667321, 31.49763999999999 53.16743000000014, 32.30451948418823 53.13272614197291, 32.69364301934604 53.35142080343218, 32.405598585751164 53.61804535584204, 31.731272820774507 53.79402944601202, 31.79142418796224 53.974638576872124, 31.38447228366374 54.15705638286238, 30.75753380709872 54.81177094178432, 30.971835971813135 55.08154775656404, 30.87390913262001 55.55097646750341, 29.896294386522356 55.78946320253041, 29.371571893030673 55.670090643936184, 29.229513380660308 55.91834422466636, 28.17670942557794 56.16912995057879, 27.855282016722526 56.75932648378429, 27.77001590344093 57.24425812441123, 27.288184848751513 57.47452830670383, 27.71668582531572 57.79189911562436, 27.42015000000015 58.72457000000014, 28.13169925305175 59.300825100330925, 27.981120000000033 59.47537000000011, 27.981126857000987 59.47537333432527, 29.117700000000013 60.02805000000012, 28.070001921525666 60.50351912796823, 28.07000000000005 60.503520000000094, 30.21110721204445 61.780027777749694, 31.139991082490894 62.35769277612441, 31.516092156711125 62.86768748641289, 30.035872430142717 63.55281362573855, 30.44468468600371 64.20445343693909, 29.54442955904699 64.94867157659048, 30.217650000000003 65.80598, 29.054588657352326 66.94428620062206, 29.97742638522061 67.69829702419275, 28.445943637818658 68.36461294216404, 28.591929559043194 69.06477692328666, 29.399550000000033 69.15692000000013, 31.101042202597625 69.55810108805622, 31.10108000000008 69.55811000000011, 32.13272000000018 69.90595000000019, 33.77547000000004 69.30142000000012, 36.51396 69.06342000000006, 40.29234000000014 67.93240000000003, 41.059870000000046 67.45713000000012, 41.1259500000001 66.79158000000007, 40.01583000000005 66.26618000000013, 38.382949999999994 65.9995300000001, 33.91871000000015 66.75961000000001, 33.18444000000005 66.63252999999997, 34.814770000000124 65.90015000000017, 34.87857425307874 65.4362128770482, 34.94391000000007 64.41437000000019, 36.23129 64.10945000000004, 37.01273000000009 63.84983000000011, 37.141970000000185 64.33471000000009, 36.53957903508979 64.76446000000004, 37.17604000000006 65.14322000000016, 39.59345000000002 64.5207900000002, 40.43560000000008 64.76446000000004, 39.76260000000019 65.49682000000001, 42.09309000000013 66.47623000000004, 43.01604000000009 66.41858000000013, 43.94975000000011 66.06908000000004, 44.53226000000001 66.75634000000014, 43.698390000000074 67.35245000000003, 44.18795000000017 67.95051000000012, 43.45282000000003 68.57078999999999, 46.250000000000114 68.25, 46.82134000000008 67.68997000000007, 45.55517000000003 67.56652000000003, 45.56202000000013 67.01005000000015, 46.34915000000012 66.6676700000001, 47.89416000000017 66.8845500000001, 48.13876000000005 67.52238000000006, 50.22766000000013 67.99867000000017, 53.71743000000015 68.85738000000015, 54.47171000000009 68.80815000000001, 53.48582000000016 68.20130999999998, 54.726279999999974 68.09701999999999, 55.44268000000011 68.43866000000008, 57.31702000000007 68.4662800000001, 58.802000000000135 68.88081999999997, 59.94142000000011 68.27844000000005, 61.07784000000021 68.94069000000007, 60.02999999999997 69.5200000000001, 60.55000000000001 69.85000000000002, 63.50400000000013 69.54739000000006, 64.88811500000003 69.23483500000009, 68.51216000000016 68.09233000000012, 69.18068000000011 68.61563000000012, 68.16444000000007 69.14436000000006, 68.13522 69.35649000000012, 66.93008000000015 69.45461000000012, 67.25976000000009 69.92873000000009, 66.72492000000017 70.70889000000017, 66.69466000000006 71.02897000000019, 68.54006000000004 71.93450000000018, 69.19636000000003 72.84336000000019, 69.94 73.04000000000008, 72.58754000000005 72.77629000000013, 72.79603000000003 72.22005999999999, 71.84811000000008 71.4089800000001, 72.47010999999998 71.09019000000006, 72.79188000000005 70.39114000000001, 72.56470000000013 69.02085, 73.66787 68.40789999999998, 73.23870000000005 67.74040000000002, 71.28000000000009 66.3200000000001, 72.42301000000009 66.17267000000021, 72.82076999999998 66.53267000000005, 73.92099000000013 66.78946000000013, 74.18651000000011 67.28429, 75.05200000000008 67.76047000000011, 74.46926000000013 68.32899000000009, 74.9358400000001 68.98918000000009, 73.84235999999999 69.07146000000006, 73.60187000000019 69.62763000000001, 74.39980000000003 70.63175000000001, 73.10109999999997 71.4471700000002, 74.89082000000019 72.12119000000013, 74.65926000000007 72.83227000000005, 75.1580100000001 72.85497000000015, 75.68351000000013 72.30056000000013, 75.2889800000001 71.3355600000001, 76.35911000000004 71.15287000000018, 75.90313000000015 71.87401000000006, 77.57665000000009 72.26717000000002, 79.6520200000001 72.32011, 81.50000000000006 71.75000000000006, 80.6107100000001 72.58285000000012, 80.51109000000002 73.64819999999997, 82.25000000000006 73.85000000000014, 84.65526 73.80591000000021, 86.82230000000015 73.93688000000003, 86.00956000000002 74.45967000000019, 87.16682000000014 75.11643000000004, 88.31571000000008 75.14393000000007, 90.26000000000005 75.64000000000004, 92.90057999999999 75.7733300000001, 93.23421000000008 76.04720000000009, 95.86000000000018 76.1400000000001, 96.67821000000009 75.91548, 98.92254000000014 76.44689, 100.75967000000014 76.43028000000004, 101.03532000000001 76.86189000000007, 101.9908400000001 77.28754000000015, 104.35160000000013 77.69792000000007, 106.06664000000018 77.37389000000007, 104.70500000000015 77.12740000000008, 106.9701300000001 76.97419000000008, 107.24000000000012 76.48000000000002, 108.1538000000001 76.7233500000001, 111.0772600000002 76.71000000000004, 113.33150999999998 76.22224, 114.13417000000004 75.84764000000001, 113.88539000000003 75.32779000000016, 112.77918 75.03186000000011, 110.15125000000012 74.47673000000003, 109.40000000000003 74.18000000000006, 110.63999999999999 74.04000000000002, 112.11919 73.78774000000016, 113.01954000000023 73.97693000000015, 113.52958000000024 73.33505000000014, 113.96880999999996 73.59488000000005, 115.56781999999998 73.75285000000008, 118.77633000000014 73.58771999999999, 119.01999999999998 73.12000000000006, 123.20066000000008 72.97122000000007, 123.25777000000016 73.73503000000005, 125.38000000000011 73.56000000000006, 126.97644000000003 73.56549000000012, 128.59126000000003 73.0387100000001, 129.05156999999997 72.39872000000008, 128.46000000000004 71.98000000000002, 129.71599000000015 71.19304000000011, 131.28858000000025 70.78699000000012, 132.25350000000014 71.83630000000011, 133.85766000000024 71.3864200000001, 135.56192999999996 71.65525000000014, 137.49755000000005 71.3476300000001, 138.23409000000015 71.62803000000002, 139.8698300000001 71.48783000000014, 139.14791000000002 72.41619000000014, 140.46817 72.84941000000015, 149.5 72.20000000000005, 150.3511800000001 71.60643000000005, 152.9689000000002 70.84222000000005, 157.00688000000002 71.03141000000005, 158.99779 70.86671999999999, 159.83031000000017 70.45324000000005, 159.70866 69.72198000000003, 160.9405300000003 69.4372800000001, 162.27907000000005 69.64204000000001, 164.05248000000006 69.66823, 165.94037000000014 69.47199, 167.83566999999994 69.58269000000013, 169.5776300000001 68.69380000000007, 170.8168800000002 69.01362999999998, 170.0082000000001 69.65276000000006, 170.4534500000002 70.09703000000007, 173.64391000000012 69.81743000000006, 175.7240300000002 69.87725000000017, 178.60000000000002 69.40000000000003, 180 68.96363636363651, 180 64.97970870219848, 179.99280999999996 64.97433000000001, 178.70720000000028 64.53493000000003, 177.41128000000003 64.60821000000004, 178.3130000000001 64.07593000000003, 178.90825000000018 63.251970000000085, 179.37033999999994 62.98262000000011, 179.48636 62.56894, 179.22825 62.304100000000176, 177.36430000000007 62.52190000000007, 174.56929000000025 61.769150000000025, 173.68013000000008 61.652610000000095, 172.14999999999998 60.94999999999999, 170.69850000000008 60.33618000000013, 170.33085000000028 59.881770000000074, 168.90045999999995 60.57355000000007, 166.29498000000024 59.78855000000016, 165.84000000000015 60.160000000000025, 164.87673999999993 59.731600000000014, 163.53929000000005 59.86871000000002, 163.21711000000016 59.211010000000044, 162.01733000000002 58.24328000000003, 162.05296999999996 57.83911999999998, 163.19191 57.615030000000104, 163.05794000000014 56.159240000000125, 162.12958000000015 56.122190000000046, 161.70146 55.285680000000184, 162.1174900000001 54.855140000000006, 160.36877000000027 54.34433000000007, 160.02173000000016 53.202570000000094, 158.5309400000001 52.958680000000186, 158.23118 51.94269000000003, 156.78979000000027 51.01105000000007, 156.42000000000007 51.700000000000045, 155.99181999999996 53.158950000000004, 155.43366000000003 55.38103000000012, 155.9144200000003 56.767920000000174, 156.75815 57.36470000000003, 156.81035000000008 57.832040000000006, 158.3643300000001 58.055750000000046, 160.15064000000007 59.31477000000007, 161.87203999999997 60.343000000000075, 163.66968999999995 61.1409000000001, 164.47355000000005 62.550610000000006, 163.25842000000011 62.46627000000012, 162.65791000000002 61.64250000000004, 160.12148000000002 60.544230000000084, 159.30232 61.7739600000001, 156.72068000000002 61.434420000000046, 154.21806000000026 59.75818000000015, 155.04375000000005 59.14495000000005, 152.81185000000005 58.88385000000005, 151.2657300000002 58.78089, 151.33815000000004 59.50396000000006, 149.78371000000004 59.655730000000176, 148.54480999999998 59.164480000000026, 145.48721999999998 59.336370000000045, 142.1978200000001 59.03998000000013, 138.95848000000024 57.08805000000007, 135.12618999999995 54.72959000000009, 136.70171000000005 54.603550000000155, 137.19342000000006 53.97732000000002, 138.16470000000004 53.7550100000002, 138.80462999999997 54.25455000000005, 139.90151000000003 54.18968000000012, 141.34531000000004 53.08957000000015, 141.37923 52.238770000000045, 140.59742000000017 51.2396700000001, 140.51307999999995 50.045530000000156, 140.0619300000002 48.44671000000011, 138.5547200000002 46.999649999999974, 138.21970999999996 46.307950000000005, 136.86232000000007 45.14350000000013, 135.51535000000013 43.98900000000009, 134.86939000000018 43.39821000000006, 133.53687000000025 42.8114700000001, 132.90627000000006 42.79849000000013, 132.27807000000018 43.28456000000011, 130.93587000000014 42.552740000000085, 130.78000485358513 42.22001036108258, 130.78000366004676 42.220007813203225, 130.77999999999997 42.22000000000014, 130.77999231657833 42.22000960427719, 130.6400000000001 42.39500000000004, 130.63999970690955 42.39502427522179, 130.63386640840974 42.90301463477053, 131.1446879416149 42.92998973242689, 131.28855512911548 44.11151968034828, 131.02519000000018 44.96796000000006, 131.8834542176595 45.32116160743652, 133.09712000000013 45.14409000000006, 133.76964399631288 46.116926988299014, 134.1123500000001 47.212480000000085, 134.50081 47.57845000000009, 135.02631147678665 48.478229885443874, 133.37359581922794 48.18344167743487, 132.50669000000005 47.78896000000003, 130.9872600000001 47.79013000000003, 130.58229332898242 48.72968740497614, 129.39781782442043 49.44060008401544, 127.65740000000028 49.760270000000105, 127.28745568248485 50.73979726826548, 126.93915652883766 51.35389415140592, 126.56439904185697 51.7842554795327, 125.94634891164617 52.79279857035698, 125.06821129771038 53.16104482686886, 123.57146999999998 53.45880000000005, 122.24574791879283 53.431725979213695, 121.00308475147017 53.25140106873119, 120.17708865771681 52.75388621684124, 120.72578901579197 52.516226304730935, 120.7382 51.96411000000006, 120.18208000000016 51.64355000000012, 119.27939000000003 50.58292, 119.2884607280258 50.142882798862004, 117.8792444194264 49.510983384796965, 116.67880089728612 49.888531399121405, 115.48569542853136 49.80517731383475, 114.96210981655018 50.140247300815126, 114.36245649623527 50.24830272073741, 112.89773969935436 49.54356537535699, 111.58123091028662 49.37796824807769, 110.66201053267878 49.13012807880585, 109.40244917199664 49.292960516957635, 108.47516727095129 49.28254771585074, 107.86817589725095 49.793705145865815, 106.8888041524553 50.27429596618032, 105.88659142458675 50.406019192092224, 104.62158 50.27532000000019, 103.67654544476022 50.089966132195116, 102.25589000000008 50.51056000000011, 102.06521000000004 51.25991000000005, 100.88948042196262 51.51685578063832, 99.98173221232354 51.63400625264399, 98.86149051310034 52.04736603454669, 97.82573978067431 51.01099518493318, 98.23176150919156 50.422400621128745, 97.25976000000014 49.72605000000004, 95.8140200000002 49.97746000000012, 94.81594933469873 50.01343333597085, 94.14756635943559 50.48053660745717, 93.10421000000002 50.49529000000001, 92.23471154171968 50.80217072204172, 90.71366743364068 50.33181183532109, 88.80556684769552 49.47052073831242, 87.75126427607671 49.297197984405486, 87.35997033076265 49.21498078062912, 86.82935672398963 49.82667470966817, 85.54126997268247 49.69285858824816, 85.11555952346203 50.11730296487764, 84.41637739455308 50.311399644565824, 83.93511478061885 50.88924551045358, 83.38300377801238 51.069182847693924, 81.94598554883993 50.81219594990637, 80.56844689323549 51.38833649352847, 80.03555952344169 50.86475088154725, 77.80091556184425 53.404414984747575, 76.52517947785475 54.17700348572714, 76.89110029491343 54.49052440044193, 74.38482000000016 53.54685000000012, 73.42567874542044 53.489810289109755, 73.5085160663844 54.0356167669766, 72.22415001820218 54.376655381886735, 71.18013105660941 54.13328522400826, 70.86526655465514 55.169733588270105, 69.06816694527288 55.38525014914353, 68.16910037625883 54.97039175070432, 65.66687000000002 54.60125000000011, 65.17853356309593 54.35422781027211, 61.43660000000017 54.00625000000002, 60.978066440683165 53.66499339457914, 61.699986199800605 52.97999644633427, 60.73999311711458 52.71998647725775, 60.92726850774028 52.44754832621504, 59.967533807215545 51.9604204372157, 61.58800337102417 51.272658799843214, 61.337424350840934 50.79907013610426, 59.93280724471549 50.842194118851864, 59.642282342370606 50.545442206415714, 58.363320000000044 51.06364000000002, 56.77798000000013 51.043550000000096, 55.71694000000002 50.62171000000018, 54.532878452376224 51.02623973245932, 52.32872358583097 51.718652248738124, 50.76664839051216 51.6927623561599, 48.70238162618102 50.60512848571284, 48.57784142435753 49.87475962991567, 47.54948042174931 50.454698391311126, 46.75159630716274 49.35600576435377, 47.04367150247651 49.152038886097614, 46.46644575377627 48.39415233010493, 47.31524000000013 47.7158500000001, 48.05725000000001 47.74377000000004, 48.694733514201744 47.07562816017793, 48.59325000000018 46.56104000000005, 49.10116000000011 46.399330000000134, 48.64541000000008 45.806290000000104)), ((95.94089500000001 81.2504, 97.88385 80.74697500000002, 100.186655 79.780135, 99.93976 78.88094, 97.75794 78.75619999999999, 94.97259 79.044745, 93.31288 79.4265, 92.5454 80.14379000000001, 91.18107000000002 80.34146000000001, 93.77766000000001 81.0246, 95.94089500000001 81.2504)), ((105.37243000000001 78.71334, 105.07547000000002 78.30689, 99.43814 77.921, 101.2649 79.23399, 102.08635 79.34641, 102.837815 79.28129, 105.37243000000001 78.71334)), ((141.47161499999999 76.09289, 145.086285 75.562625, 144.3 74.82000000000001, 140.61381 74.84768, 138.95544 74.61148, 136.97439 75.26167000000001, 137.51176 75.94917, 138.831075 76.13676000000001, 141.47161499999999 76.09289)), ((150.73167 75.08406, 149.575925 74.68892, 147.977465 74.778355, 146.11919 75.17298, 146.358485 75.49682, 148.22223 75.345845, 150.73167 75.08406)), ((140.81171 73.76506, 142.06207 73.85758, 143.48283 73.47525, 143.60385 73.21244, 142.08763000000002 73.20544, 140.03815500000002 73.31692000000001, 139.86312 73.36983000000001, 140.81171 73.76506)), ((46.79913862487123 80.77191762971368, 48.31847741068461 80.78400991486998, 48.52280602396667 80.51456899690017, 49.097189568890855 80.7539859077084, 50.03976769389462 80.91888540315178, 51.522932977103665 80.69972565380193, 51.13618655783128 80.54728017854093, 49.79368452332071 80.4154277615482, 48.89441124857755 80.33956675894375, 48.75493655782177 80.17546824820089, 47.58611901224418 80.01018117951533, 46.50282596210963 80.2472468126543, 47.07245527526294 80.55942414012951, 44.84695804218114 80.58980988231714, 46.79913862487123 80.77191762971368)), ((20.892244500418627 54.31252492941253, 19.660640089606403 54.42608388937393, 19.888481479581287 54.86616038677151, 21.268448927503467 55.190481675835315, 22.315723504330577 55.015298570365864, 22.75776370615526 54.85657440858138, 22.65105187347254 54.582740993866736, 22.731098667092652 54.327536932993326, 20.892244500418627 54.31252492941253)), ((55.90245893740766 74.62748647734536, 55.631932814359686 75.08141225859718, 57.86864383324885 75.60939036732326, 61.170044386647476 76.25188345000812, 64.49836836127017 76.43905548776927, 66.21097700385513 76.80978221303117, 68.1570597675348 76.93969676381293, 68.85221113472508 76.5448113064546, 68.1805725442276 76.23364166940907, 64.63732628770302 75.73775462513625, 61.58350752141476 75.26088450794684, 58.47708214705335 74.30905630156285, 56.98678551618803 73.33304352486623, 55.419335971910925 72.37126760526603, 55.62283776227633 71.54059479439032, 57.535692579992315 70.72046397570212, 56.94497928246388 70.63274323188666, 53.67737511578417 70.76265778266846, 53.412016635965394 71.20666168892022, 51.601894565645665 71.47475901965045, 51.455753615124216 72.01488108996513, 52.47827518088354 72.22944163684097, 52.44416873557088 72.77473135038481, 54.42761355979758 73.6275475124976, 53.50828982932515 73.7498139513002, 55.90245893740766 74.62748647734536)), ((143.2608476096321 52.74076040303906, 143.23526777564763 51.75666026468876, 143.64800744036285 50.747600409541505, 144.6541475770856 48.97639069273754, 143.1739278505172 49.306551418650315, 142.55866824765013 47.86157501890495, 143.53349246640403 46.83672801369252, 143.50527713437265 46.137907619809525, 142.74770063697383 46.74076487892651, 142.09203006405454 45.966755276058834, 141.906925083585 46.80592886004656, 142.01844282447087 47.78013296161296, 141.90444461483503 48.85918854429957, 142.1358000022057 49.61516307229739, 142.17998335181528 50.9523424342819, 141.59407596249002 51.9354348822025, 141.6825460145737 53.301966457728795, 142.60693403541075 53.762145087287934, 142.20974897681543 54.225475979216874, 142.65478641171302 54.36588084575389, 142.91461551327654 53.704577541714784, 143.2608476096321 52.74076040303906)), ((-175.01425000000003 66.58435, -174.33983000000003 66.33556, -174.57182 67.06219, -171.85731 66.91308000000001, -169.89958000000001 65.97724, -170.89107 65.54138999999999, -172.53025000000002 65.43791, -172.555 64.46079, -172.95533 64.25269, -173.89184 64.2826, -174.65392000000003 64.63125000000001, -175.98353 64.92288, -176.20716 65.35667000000001, -177.22266 65.52024, -178.35993000000002 65.39052000000001, -178.90332000000004 65.74044, -178.68610999999999 66.11211, -179.88377 65.87456, -179.43268 65.40411, -180 64.9797087021984, -180 68.96363636363635, -177.55000000000004 68.2, -174.92825000000002 67.20589000000001, -175.01425000000003 66.58435)), ((-180 70.83219920854673, -180 71.51571433642827, -179.871875 71.55762000000001, -179.02433000000002 71.55553, -177.57794500000003 71.26948, -177.663575 71.13277000000001, -178.69378000000003 70.89302, -180 70.83219920854673)))"
9466856.0,Europe,Belarus,BLR,63080,"POLYGON ((28.17670942557794 56.16912995057879, 29.229513380660308 55.91834422466636, 29.371571893030673 55.670090643936184, 29.896294386522356 55.78946320253041, 30.87390913262001 55.55097646750341, 30.971835971813135 55.08154775656404, 30.75753380709872 54.81177094178432, 31.38447228366374 54.15705638286238, 31.79142418796224 53.974638576872124, 31.731272820774507 53.79402944601202, 32.405598585751164 53.61804535584204, 32.69364301934604 53.35142080343218, 32.30451948418823 53.13272614197291, 31.49763999999999 53.16743000000014, 31.305200636528014 53.07399587667321, 31.54001834486226 52.74205231384636, 31.785970000000077 52.1016800000001, 31.78599244755525 52.1016775699397, 30.927549269338982 52.04235342061439, 30.619454380014815 51.822806098022454, 30.555117221811457 51.31950348571566, 30.157363722460897 51.41613841410147, 29.25493818534784 51.36823436136689, 28.992835320763533 51.602044379271476, 28.61761274589225 51.42771393493484, 28.24161502453657 51.57222707783907, 27.454066196408405 51.592303371784396, 26.337958611768556 51.83228872334797, 25.32778771332701 51.91065603291855, 24.553106316839518 51.888461005249184, 24.00507775238418 51.617443956094405, 23.52707075368437 51.57845408793031, 23.508002150168693 52.02364655212473, 23.199493849386187 52.48697744405367, 23.79919884613338 52.69109935160657, 23.80493493011778 53.089731350306074, 23.527535841575002 53.470121568406555, 23.48412763844985 53.91249766704114, 24.450683628037037 53.905702216194754, 25.536353794056993 54.28242340760253, 25.7684326514798 54.84696259217509, 26.58827924979039 55.16717560487167, 26.494331495883756 55.615106919977634, 27.10245975109453 55.783313707087686, 28.17670942557794 56.16912995057879))"
2657637.0,Europe,Moldova,MDA,11968,"POLYGON ((26.619336785597795 48.22072622333347, 26.857823520624805 48.368210761094495, 27.522537469195157 48.467119452501116, 28.259546746541844 48.15556224221342, 28.670891147585166 48.1181485052341, 29.12269819511303 47.849095160506465, 29.05086795422727 47.5102269557525, 29.415135125452736 47.34664520933258, 29.559674106573112 46.928582872091326, 29.908851759569302 46.67436066343146, 29.838210076626297 46.52532583270169, 30.024658644335375 46.42393667254504, 29.759971958136394 46.34998769793536, 29.170653924279804 46.37926239682872, 29.07210696789929 46.517677720722496, 28.862972446414062 46.43788930926383, 28.933717482221596 46.25883047137256, 28.65998742037158 45.93998688413164, 28.485269402792767 45.5969070501459, 28.23355350109904 45.48828318946829, 28.0544429867754 45.944586086605625, 28.160017937947714 46.37156260841722, 28.128030226359044 46.810476386088254, 27.551166212684848 47.40511709247083, 27.233872918412743 47.82677094175638, 26.924176059687568 48.123264472030996, 26.619336785597795 48.22072622333347))"
44385155.0,Europe,Ukraine,UKR,153781,"POLYGON ((32.15944000000013 52.06125000000014, 32.41205813978769 52.28869497334978, 32.715760532367085 52.23846548116211, 33.75269982273579 52.3350745713318, 34.39173058445709 51.768881740925906, 34.141978387190534 51.566413479206346, 34.22481570815427 51.25599315042888, 35.02218305841791 51.2075723333715, 35.377909999999986 50.773940000000096, 35.356116163887975 50.57719737405904, 36.62616784032542 50.225590928745135, 37.39345950699516 50.38395335550365, 38.01063113785693 49.9156615260747, 38.59498823421342 49.9264619004237, 40.06904000000014 49.60104999999999, 40.080789015469406 49.30742991799934, 39.674649999999986 48.78382000000016, 39.89562000000018 48.23241000000007, 39.738277622238854 47.89893707945197, 38.77057000000008 47.825620000000185, 38.25511233902978 47.54640045835691, 38.223538038899335 47.10218984637595, 37.4251371599899 47.02222056740419, 36.75985477066445 46.69870026304102, 35.82368452326489 46.64596446388714, 34.96234174982385 46.27319651954974, 35.01265897004737 45.73772519982549, 35.02078779474607 45.65121898048466, 35.51000857925311 45.40999339454612, 36.52999799983019 45.46998973243717, 36.334712762199274 45.11321564389402, 35.239999220528205 44.93999624285175, 33.882511020652885 44.361478583344194, 33.32642093276013 44.564877020844904, 33.546924269349404 45.03477081967486, 32.4541744321055 45.327466132176085, 32.63080447767919 45.51918569597899, 33.58816206231842 45.85156850848023, 33.435988094713366 45.971917370797485, 33.29856733575474 46.08059845639781, 31.744140252415207 46.33334788673733, 31.67530724460255 46.70624502215554, 30.74874881360921 46.583100084004116, 30.377608676888883 46.03241018328572, 29.603289015427436 45.293308010431126, 29.149724969201653 45.464925442072456, 28.67977949393938 45.304030870131704, 28.23355350109904 45.48828318946829, 28.485269402792767 45.5969070501459, 28.65998742037158 45.93998688413164, 28.933717482221596 46.25883047137256, 28.862972446414062 46.43788930926383, 29.07210696789929 46.517677720722496, 29.170653924279804 46.37926239682872, 29.759971958136394 46.34998769793536, 30.024658644335375 46.42393667254504, 29.838210076626297 46.52532583270169, 29.908851759569302 46.67436066343146, 29.559674106573112 46.928582872091326, 29.415135125452736 47.34664520933258, 29.05086795422727 47.5102269557525, 29.12269819511303 47.849095160506465, 28.670891147585166 48.1181485052341, 28.259546746541844 48.15556224221342, 27.522537469195157 48.467119452501116, 26.857823520624805 48.368210761094495, 26.619336785597795 48.22072622333347, 26.19745039236693 48.22088125263035, 25.9459411964024 47.987148749374214, 25.20774336111299 47.89105642352747, 24.866317172960578 47.737525743188314, 24.40205610525038 47.98187775328043, 23.76095828623741 47.985598456405455, 23.142236362406805 48.09634105080695, 22.710531447040495 47.88219391538941, 22.640819939878725 48.150239569687415, 22.085608351334855 48.42226430927179, 22.28084191253356 48.82539215758067, 22.558137648211755 49.085738023467144, 22.776418898212626 49.02739533140962, 22.518450148211603 49.47677358661974, 23.426508416444392 50.30850576435745, 23.92275719574326 50.42488108987874, 24.029985792748903 50.70540660257518, 23.52707075368437 51.57845408793031, 24.00507775238418 51.617443956094405, 24.553106316839518 51.888461005249184, 25.32778771332701 51.91065603291855, 26.337958611768556 51.83228872334797, 27.454066196408405 51.592303371784396, 28.24161502453657 51.57222707783907, 28.61761274589225 51.42771393493484, 28.992835320763533 51.602044379271476, 29.25493818534784 51.36823436136689, 30.157363722460897 51.41613841410147, 30.555117221811457 51.31950348571566, 30.619454380014815 51.822806098022454, 30.927549269338982 52.04235342061439, 31.78599244755525 52.1016775699397, 32.15944000000013 52.06125000000014))"
